B, F1, F2, H, B, H1, H2, F, comm_cost, num_nodes, mem_cost
4,1,1,1,1,1,1,16,100663296.0,20,130285568.0
4,1,1,2,1,1,1,4,100663296.0,12,145752064.0
4,1,1,2,1,2,1,8,100663296.0,24,94896128.0
8,1,1,2,8,1,2,1,100663296.0,32,62914560.0
8,1,2,1,8,1,1,2,100663296.0,32,62914560.0
2,1,2,4,4,1,1,2,101711872.0,24,94896128.0
4,1,1,2,2,1,2,4,101711872.0,24,94896128.0
1,1,1,4,2,1,1,4,102760448.0,12,153092096.0
1,1,1,16,2,2,1,4,102760448.0,32,93585408.0
1,2,1,8,2,1,1,4,102760448.0,24,102236160.0
2,1,1,4,1,1,1,4,102760448.0,12,153092096.0
2,1,1,4,1,2,1,8,102760448.0,24,102236160.0
2,2,1,4,1,1,1,16,102760448.0,32,93585408.0
2,1,1,4,2,1,2,4,103809024.0,24,102236160.0
2,1,1,8,16,1,1,1,103809024.0,32,57147392.0
2,1,2,4,2,1,1,4,103809024.0,24,102236160.0
16,1,1,1,2,1,1,8,103809024.0,32,57147392.0
1,1,1,8,2,1,1,2,104857600.0,12,153616384.0
1,1,1,8,8,1,1,1,104857600.0,16,109576192.0
1,1,1,16,4,1,2,2,104857600.0,32,93585408.0
1,1,1,16,4,2,1,2,104857600.0,32,90439680.0
1,1,2,8,4,1,1,4,104857600.0,32,93585408.0
2,1,1,2,1,1,1,8,104857600.0,12,153616384.0
4,1,1,2,8,1,2,1,104857600.0,24,83886080.0
4,1,1,4,1,1,2,8,104857600.0,32,93585408.0
4,1,2,2,1,1,1,16,104857600.0,32,93585408.0
4,2,1,2,1,1,1,16,104857600.0,32,90439680.0
8,1,1,1,1,1,1,8,104857600.0,16,109576192.0
8,1,2,1,4,1,1,2,104857600.0,24,83886080.0
2,1,1,4,8,1,2,1,106954752.0,24,91226112.0
4,1,1,4,8,2,1,1,106954752.0,32,66060288.0
8,1,1,2,16,1,1,1,106954752.0,32,46137344.0
8,1,2,1,2,1,1,4,106954752.0,24,91226112.0
8,2,1,1,4,1,1,4,106954752.0,32,66060288.0
16,1,1,1,8,1,1,2,106954752.0,32,46137344.0
1,1,1,4,1,1,1,16,109051904.0,20,152305664.0
1,1,1,8,4,1,1,1,109051904.0,12,147324928.0
1,1,1,16,1,1,1,4,109051904.0,20,152305664.0
1,1,1,16,1,2,1,8,109051904.0,32,101449728.0
1,2,1,8,1,1,1,16,109051904.0,32,101449728.0
2,1,1,2,2,1,1,2,109051904.0,8,171966464.0
2,1,1,2,8,1,1,1,109051904.0,12,127926272.0
4,1,1,1,1,1,1,8,109051904.0,12,147324928.0
8,1,1,1,2,1,1,2,109051904.0,12,127926272.0
8,1,1,1,8,1,1,1,109051904.0,16,83886080.0
1,1,1,16,2,1,2,4,110100480.0,32,101449728.0
1,1,2,8,2,1,1,8,110100480.0,32,101449728.0
2,1,1,8,1,1,2,8,110100480.0,32,101449728.0
2,1,2,4,1,1,1,16,110100480.0,32,101449728.0
1,1,1,8,2,2,1,4,111149056.0,24,110624768.0
2,2,1,4,1,1,1,8,111149056.0,24,110624768.0
4,1,1,2,16,1,1,1,111149056.0,24,67108864.0
16,1,1,1,4,1,1,2,111149056.0,24,67108864.0
